"osm_id","name","lon","lat","any_url","opening_hours"
"3376408641",NA,99.0548282,18.7772728,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3379414262","Hi Coffee",98.6911374,19.1686385,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3380623726","T@31 Coffee",98.9729264,18.7940979,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3384100280","Coffee Lovers",98.9831606,18.7856576,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","07:00-18:00"
"3384152432","Happy Espresso",98.9830914,18.781739,"https://happyespresso.net/","Mo-Sa 08:30-17:30"
"3384275334",NA,98.9795256,18.8105732,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3385480758",NA,98.9787534,18.7930497,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3385494997","Fern Forest Cafe",98.9820298,18.7933869,"https://facebook.com/FernForestCafe/","Mo-Su 08:30-18:30"
"3385505418","Tikky's Café",98.9789789,18.7919086,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 10:30-20:30"
"3385507274","East Coffee",98.9791661,18.7927305,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3388701190","Thor Phan",98.9802437,18.7886965,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","09:30-16:00; Su[-1] off"
"3388725586","Bike Cafe",98.9825068,18.7810959,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3389097419",NA,99.3517848,20.0651945,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3389097422",NA,99.3521893,20.0652619,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3394781916",NA,98.9997859,18.810723,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3395080851",NA,99.0052199,18.7861737,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3395080852","Love at First Bite",99.0066911,18.786176,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Tu-Su 10:30-18:00"
"3397737973",NA,98.3036642,19.0714144,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3397737974",NA,98.3037742,19.0714287,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3397737975",NA,98.3037894,19.0713244,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3397737976",NA,98.3036794,19.0713101,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3400272248","I Like Ice-cream",98.9543515,18.7928431,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3400287976","Fruiturday",98.9660692,18.7962483,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3401322096","The Volcano",98.978288,18.772283,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3409866633","Café Amazon",99.0143678,18.7386061,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3409866635","Deco Coffee & Tea",99.0142727,18.7401259,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3412153328","สภากาแฟ 89",99.0089129,18.7521159,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3412153330","Hugs Coffee",99.0180654,18.7556842,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3414272473","At Fifteen",98.9961213,18.7850986,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Tu-Su 08:30-17:30"
"3414272474","Crema Cafe",98.9959699,18.7842684,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3414272483","The Baker's",98.995292,18.7856178,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3416881722","มนเมืองกาแฟ",99.0048312,18.7487174,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3417167515","Coffee Bug",99.0027155,18.785907,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3417167516","Genocafe",99.0029981,18.7857693,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3417316793","Yesterday",98.9660941,18.7970757,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3418924493","Ban Panfa Cafe & Bakery",99.028015,18.733813,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","09:00-18:00"
"3418977493","Coffee Lover Chiang Mai",99.0268155,18.7504115,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3418977906","บ้าน นฤมิตร",98.9952787,18.7895758,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3418977912","ดาราอาหารเวียดนาม",98.9957563,18.7918632,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3419811900","Mont Jo",99.0063462,18.8997456,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3419871310","Toong's",98.9252001,18.725134,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3419878776","Ramino",98.9405998,18.7516905,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"3421202368",NA,98.9708597,18.7954525,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip","Mo-Su 08:00-18:00"
