"tile_id","place_id","name","rating","user_ratings_total","status","GID_1","GID_0","COUNTRY","NAME_1","VARNAME_1","NL_NAME_1","TYPE_1","ENGTYPE_1","CC_1","HASC_1","ISO_1","lon","lat"
"15","ChIJ6e_HIQCD3DARYesMYwmW12w","คอฟฟี่คา",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3214551,17.8219994
"15","ChIJTfTKLg2D3DAR7u9l0L3dfBE","Sopa's Estate Plantation",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.36752589999999,17.8026739
"15","ChIJ3-INZgCD3DARo7szZQsWwOc","มิตติ้งพอยต์คาเฟ่อมก๋อย Meeting point Cafe Omkoi",4.7,3,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3640966,17.8078899
"16","ChIJIUeFISaD3DAR1d4ln4booKk","Dong Coffee De Omkoi",4.9,12,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.372846,17.8054333
"17","ChIJNd0dcA9_3DARtGI7J1jJt08","ร้านHugnaCoffee",5,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.496876,17.776038
"19","ChIJ70FzJvOD3DARB9nW-As8IzE","Yangpao cafe - ร้านกาแฟโรงเรียนบ้านยางเปา",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3188457,17.8235562
"19","ChIJHSe-DF-d3DAR8f29zorLNd0","วิวไร่คาเฟ่",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.30320619999999,17.8705597
"19","ChIJu7JbB0eC3DAReZOKXcvlvi4","กาแฟอมก๋อย",4.4,131,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.3721875,17.8356875
"21","ChIJUdG6FQCJ2zARUA6FcoyWDew","Palmmoy Coffee and tea 2",5,3,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.747732,17.8520745
"21","ChIJRRilMQCJ2zARjn7bBOd-E7Q","ชารินคิณ Charinkin🧋",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7258851,17.878812
"21","ChIJp4DmLACJ2zARulQMfwuRjZg","1000Mai cafe",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.742084,17.891302
"21","ChIJ4WRoIwyH2zARv0RUtvIaIJQ","1000 Mai Cafe",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7420212,17.8913051
"21","ChIJ7RrAtLWJ2zART6TwPMNnDZo","The Doitao Coffee Rider",4.8,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7262161,17.8852456
"21","ChIJlfjSq0uJ2zARGok29B2je7M","ปั่นมั่ว",4.3,4,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.74235619999999,17.8921314
"21","ChIJOXsZV0uJ2zARAIOnpTXXn7Y","PANMOUR (ปั่นมั่ว)",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.74229129999999,17.8922235
"23","ChIJDWWvIg1_2zARtu4yiSpigUo","เก๊าเกี๊ยะ Cafe",4.6,10,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.4104728,17.9055907
"23","ChIJIaLRWnB_2zARwbcPmOM4N-c","กาแฟรักษ์ป่าอมก๋อย SOFT Coffee",5,22,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.40930089999999,17.90286859999999
"24","ChIJ73HzEwCJ2zARLm_2tZd2ZTQ","กล้วยทอดกระทะยักษ์บ้านถิ่นสำราญ",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7093269,17.9233939
"24","ChIJzRPgQzeJ2zAR9vJx1kLPr1A","กาแฟครูเกจ",3,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7105697,17.9228975
"24","ChIJMZrR_2qJ2zARhU_APpJZd8A","ร้านเก๊าบะโจ้ก kaobajoke",5,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6941896,17.9466292
"24","ChIJk3wbSwCP2zARsC1H7oH6EIw","ร้านน้ำปั่นน้องต้นหนาว",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.681607,17.9498647
"24","ChIJATpeZNeP2zARro8ZUTk0wXY","ระมิงค์ คอฟฟี่",4,2,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6946497,17.94783709999999
"24","ChIJN5xEgNWP2zARHYXJw3hO0-k","ฮ่อมหน้อย คาเฟ่ Hom Noi Cafe",4.7,7,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.69031100000001,17.949394
"24","ChIJT8AWQDiJ2zARJU650PNi244","Long Ma Jim ลองมาจิม",3,1,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7067318,17.9409509
"24","ChIJWZemdZuH2zARAW3Q69uRwWE","CHEEVA COFFEE",4.7,6,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.7068694,17.9409034
"24","ChIJPwMOn0uN2zARaajzlz7g0_A","SURANUN Café",4.9,12,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.69012289999999,17.9495872
"24","ChIJ6wLRbQCP2zARcDYseEFZ1dg","Coffee in Doitao By Khun Pui",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.68471509999999,17.9522861
"24","ChIJ2asKc66P2zARW6J-9HFHedA","โคซี่ บราวน์ คาเฟ่ Cozy Brown Café",5,33,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6847385,17.9523478
"24","ChIJGd7mVgCP2zARW797StHiDDk","รสชาแฟ Coffee car",NA,NA,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6835222,17.953359
"24","ChIJ5RDNfzGP2zARPjsy_XZSBv8","Bandin in the Doi",4.8,26,"OK","THA.10_1","THA","Thailand","Chiang Mai","NA","จังหวัดเชียงใหม่","Changwat","Province","50","TH.CM","TH-50",98.6900665,17.9536163
