"match_status","place_id","osm_id","dist_m","name","lat","lon","rating","user_ratings_total","any_url","opening_hours"
"osm_only",NA,"5203695537",NA,NA,18.785742,98.987156,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5205543123",NA,NA,18.8083551,98.9777988,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5207893922",NA,NA,18.7922887,98.9909582,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5208044724",NA,NA,18.7828939,98.9933223,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5215769221",NA,NA,18.8078244,99.0198736,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5221139063",NA,"Delicafe",18.7626582,99.0230718,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5231429625",NA,"Gold land coffe",18.7876981,98.9975773,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5234228721",NA,NA,18.7946636,98.9860456,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5234546423",NA,"บ้านนายวิฑูรย์ ส่องแสง",18.8216321,98.9497295,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261052945",NA,NA,18.7477955,99.034688,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261052948",NA,NA,18.747631,99.034748,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261052954",NA,NA,18.7476078,99.034677,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261323754",NA,NA,18.7494156,99.0087692,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261323755",NA,NA,18.7493114,99.008729,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
"osm_only",NA,"5261323756",NA,NA,18.749332,99.0086697,NA,NA,"https://geodata.ucdavis.edu/gadm/gadm4.1/shp/gadm41_THA_shp.zip",NA
