"Name","Latitude","Longitude","MatchStatus","PlaceID","OsmID","Dist_m","Rating","UserRatingsTotal","URL","OpeningHours"
"Mycoffee Panghai (มายคอฟฟี่ปางไฮ)",18.9246795,99.3365374,"google_only","ChIJ5RZLX0WN2TARB7NLj65Cr-c",NA,NA,4.4,65,NA,NA
"Ava Cafe' and Bistro",18.924735,99.1384302,"google_only","ChIJA98rpgoh2jARv4bn2ZL68CY",NA,NA,4.5,15,NA,NA
"หน้าบ้าน คอฟฟี่",18.9252278,99.0923614,"google_only","ChIJ1fCbfAAj2jARhb7kayaPBSE",NA,NA,NA,NA,NA,NA
"ไร่ เลอา",18.9252558,99.2413155,"google_only","ChIJpxQ3OSaL2TARNk-xWD2NdLo",NA,NA,1,1,NA,NA
"Em’s Cafe’",18.9256034,98.9979409,"google_only","ChIJAbENSwA92jARlPBXY__S9ps",NA,NA,5,1,NA,NA
"อราบิก้า คอฟฟี่บีน",18.925655,99.332452,"google_only","ChIJKZbitBmN2TARhfGAeQllz5k",NA,NA,4.8,6,NA,NA
"ฤไท - Rue Thai Coffee Roasters",18.9257901,98.9646472,"google_only","ChIJPRSTJTE92jARSPoZtSGPl5w",NA,NA,4.9,273,NA,NA
"Tonkla Plus Coffee",18.9258075,98.9647556,"google_only","ChIJqdUC7AI92jARmVX3J2BMoqk",NA,NA,NA,NA,NA,NA
"Bake in the hill by Wiriyama",18.9263539,98.7475816,"google_only","ChIJ14LsASBD2jARqPJphsIO4ak",NA,NA,5,27,NA,NA
"คาเฟ่ยิ้มยิ้ม",18.9264182,98.9466125,"google_only","ChIJr18vRAA92jARcGC0PJZNF8A",NA,NA,5,1,NA,NA
"ทุ่งนากาแฟ",18.9264273,98.9466183,"google_only","ChIJpbE8fAA92jARMZLXs-yaVpE",NA,NA,5,1,NA,NA
"ร้านต๋ำส้มฮ่อมน้อยๆ อร่อยเวอร์",18.9265265,98.7531651,"google_only","ChIJUd4oK8BD2jARLeUFjpTqAz0",NA,NA,5,1,NA,NA
"ต้นกล้าผักเเละสมุนไพรฝรั่งออร์เเกนิกส์เชียงใหม่ Organic Herbs and Veggies",18.9268009,99.044657,"google_only","ChIJH1QLudsj2jARQhPEUUZgb9g",NA,NA,4.7,3,NA,NA
"ปอหวาน Porwaan",18.9275308,99.0370053,"google_only","ChIJ017I9kgj2jARxwB_lU8LyLg",NA,NA,4.6,8,NA,NA
"ผลไม้ตามฤดูกาล ไร่กัญชพรคอฟฟี่",18.9276652,99.2382655,"google_only","ChIJLYm7FwAl2jARc3nCpOjr4Z8",NA,NA,4.8,6,NA,NA
"Cake & Craft",18.9277184,98.9551726,"google_only","ChIJkf6SVpg92jARNUne4OiqR6Q",NA,NA,NA,NA,NA,NA
"ร้านกาแฟเรือนราชา Ruean Racha Cafe",18.92777359999999,98.921967,"google_only","ChIJn29Ctss_2jARMwcx13Q8Y6g",NA,NA,4.3,4,NA,NA
"มุมอร่อย ซอย. 11",18.9284375,98.7620625,"google_only","ChIJAQQTBQBB2jARK2ym04yvGdQ",NA,NA,5,2,NA,NA
"Homie : โฮมมี่",18.9284786,99.0150708,"google_only","ChIJo1oDTc4j2jARrTZs2S3riWM",NA,NA,4.4,38,NA,NA
"Eden Coffee Monjam",18.9288643,98.8235451,"google_only","ChIJTVuKPYhA2jARiztJvHOCmGQ",NA,NA,4.7,59,NA,NA
"Grandma’s Garden Mon Jan",18.9288826,98.8060764,"google_only","ChIJ1_YibHhB2jAReZIKjpwaTfY",NA,NA,4.5,4,NA,NA
"Helen’s house",18.92891639999999,98.94614,"google_only","ChIJG_D1XX492jARwkvQalKYr5I",NA,NA,5,3,NA,NA
"198 Coffee &Tea",18.9293216,98.7589021,"google_only","ChIJycKuNXtB2jARDrJXzOL1Ick",NA,NA,5,1,NA,NA
"Engka Cafe and Gallery",18.9294593,99.1418912,"google_only","ChIJgUJFs7Mh2jAR06sfIk-66eY",NA,NA,4.8,16,NA,NA
"ร้านกาแฟสด ปิ่นรัก รักปิ่น",18.9300715,98.8151947,"google_only","ChIJT6oUpIpA2jARLSYciwXcApo",NA,NA,3,2,NA,NA
"Sang Sang Flower Garden",18.9313063,98.8064714,"google_only","ChIJ5yj4rZ9B2jARtzkcV31vN8s",NA,NA,4.8,4,NA,NA
"Bam's Tea Coffee&Tea",18.9317639,98.9109035,"google_only","ChIJT4tMhKg_2jARj6iT_x7bHCU",NA,NA,5,2,NA,NA
"Woraman Cottage & Cafe",18.9320622,99.3474976,"google_only","ChIJxQxNFqyN2TARr-kowayNlkM",NA,NA,4,33,NA,NA
"D'manita Cafe",18.9321882,98.9227818,"google_only","ChIJIRnmslQ_2jARiXHDwzfX9QU",NA,NA,4.8,198,NA,NA
"Rai ing Tawan homestay & cafe",18.9325118,98.8162678,"google_only","ChIJX0OBVgBB2jARPPmuRsruI90",NA,NA,5,1,NA,NA
"r roon Cafe Camping",18.9326379,98.8126022,"google_only","ChIJHZIRikY72jARApOAteRJgTE",NA,NA,4.6,92,NA,NA
"ไร่อิงตะวัน ม่อนแจ่ม",18.9326419,98.8161967,"google_only","ChIJWbCxPOFB2jARwjqzJct2DmU",NA,NA,4.3,68,NA,NA
"Ekanek Coffee Roster",18.9326976,98.9765771,"google_only","ChIJdXelntwX2jARo6ZUnvMSbnk",NA,NA,5,1,NA,NA
"Lhong Rak caf'e",18.9327465,98.9693164,"google_only","ChIJKeCe-rc92jARyI4J9TVKAVI",NA,NA,5,1,NA,NA
"มหัศจรรย์ ม่อนแจ่ม𝔚𝔬𝔫𝔡𝔢𝔯𝔩𝔞𝔫𝔡",18.9328541,98.8139228,"google_only","ChIJwWFRDqM72jARGwqN0x2URX4",NA,NA,4.8,4,NA,NA
"Magmai & The Maze Cafe",18.9329734,98.9601388,"google_only","ChIJ9Un8b3s92jARNEajLt2Z2vI",NA,NA,4.7,59,NA,NA
"카페- 타이티,그린티 직접우려 만드는 존맛집",18.9331226,98.8148338,"google_only","ChIJQ_yiDgBB2jARLIwtCOdq5FE",NA,NA,5,1,NA,NA
