"source","id","name","lat","lon"
"osm",7027943486,"Hug Smoothie",18.790076,98.9823548
"osm",7178932385,NA,18.7882629,98.9862302
"osm",7416481040,NA,18.7878333,98.989442
"osm",7794425963,"Café Rom-D",18.7948892,98.9818871
"osm",8128826437,NA,18.7878338,98.9894382
"osm",8128826439,NA,18.7879866,98.9893821
"osm",8128826440,NA,18.7878435,98.9893618
"osm",8128826441,NA,18.7879765,98.9894622
"osm",9568058117,NA,18.7946463,98.9867766
"osm",10931030905,NA,18.790265,98.9866593
"osm",10958910205,NA,18.7952751,98.9821179
"osm",11715925137,"Republic Coffee",18.7881782,98.9838482
"osm",11936206969,"Zohng Coffee",18.7895919,98.9827311
"osm",11989775069,NA,18.7891554,98.9900918
"osm",12301174700,"Seven Slash Two",18.790466,98.9822763
"osm",12310893222,"In Town",18.7952097,98.9874656
"osm",12438478901,"Persimmon Cafe",18.7953226,98.9818399
"osm",12495831202,"Sapphic Riot",18.7945534,98.9818889
"osm",12513656179,"ASMR Cafe & Wellness",18.7953134,98.9836456
"osm",13386088901,"Cheesetober",18.793196,98.9865441
"osm",287098174,"บ้านกาแฟ ณ เชียงใหม่",18.790242184790507,98.98417738544174
"osm",481724332,NA,18.788666474980353,98.99037904206352
"osm",492846842,"Fahtara",18.792960000000004,98.9862193
"osm",580333283,"Golden Bee",18.79087040025388,98.98630466583305
"osm",793140912,"Mango Mania",18.78790995849238,98.98941204280148
